,count/time,eventName,timestamp,username
279,27273,time event,2018-09-19 13:58:16.708681,ccc
280,12162,time event,2018-09-19 13:58:28.840601,ccc
281,9,time event,2018-09-19 13:58:28.891821,ccc
282,383,time event,2018-09-19 13:58:30.212663,ccc
283,3,star click event,2018-09-19 13:58:40.466677,ccc
284,12615,time event,2018-09-19 13:58:43.178255,ccc
285,3920,time event,2018-09-19 13:58:47.176904,ccc
286,1,vote click event,2018-09-19 13:58:53.475241,ccc
288,5489,time event,2018-09-19 13:59:00.869044,ccc
289,7094,time event,2018-09-19 13:59:07.972619,ccc
290,5000,time event,2018-09-19 13:59:13.049388,ccc
291,1755,time event,2018-09-19 13:59:14.725122,ccc
292,5254,time event,2018-09-19 13:59:19.975356,ccc
293,13759,time event,2018-09-19 13:59:33.749051,ccc
294,1940,time event,2018-09-19 13:59:35.722608,ccc
295,1456,time event,2018-09-19 13:59:37.156838,ccc
296,644,time event,2018-09-19 13:59:37.877159,ccc
297,65,time event,2018-09-19 13:59:38.264738,ccc
